"user_id","rank","track","artists","album","release_date","track_url","timeframe"
"12180399177",30,telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,Short
"12180399177",31,no eres tu(soy yo),Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/6vOQUrwsokMFDQLbgRDhV8,Short
"12180399177",32,Them Changes,Thundercat,Drunk,,https://open.spotify.com/track/7CH99b2i1TXS5P8UUyWtnM,Short
"12180399177",33,Comfortable - Majestic Remix,Rebecca Garton; Jeremih; Majestic,Comfortable (Majestic Remix),,https://open.spotify.com/track/7bfgDGZNIDAhneejLPy44e,Short
"12180399177",34,de nadie,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/7lm2mLylLoEjPiqGgcnhSY,Short
"12180399177",35,"Circle of Life (From ""The Lion King"") - From ""The Lion King""/ Soundtrack",Carmen Twillie; Lebo M.,Best of The Lion King,,https://open.spotify.com/track/7tL61fgLUj48iB6JXVWzii,Short
"12180399177",36,Snowman,Sia,Everyday Is Christmas (Deluxe Edition),,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq,Short
"12180399177",37,Get You (feat. Kali Uchis),Daniel Caesar; Kali Uchis,Freudian,,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ,Short
"12180399177",38,The Dance Song,Yung Raja,The Dance Song,,https://open.spotify.com/track/18Ow2wSCiaWmFvbIB6y7u7,Short
"12180399177",39,卒業写真,Hi-Fi Set,"GOLDEN BEST / Hi-Fi Set Yumi Arai,Yumi Matsutouya,Masamichi Sugi Sakuhinshuu",,https://open.spotify.com/track/0518wlHRzYBaC1rF9whUiR,Short
"12180399177",40,Complicated Love,Lxcid,Complicated Love,,https://open.spotify.com/track/1DbhNQhe16I5W8d6GRgHmr,Short
"12180399177",41,High,Miley Cyrus,Plastic Hearts,,https://open.spotify.com/track/2LseyBkPJv7r7wCt2yMEgX,Short
"12180399177",42,The Black Angel's Death Song,The Velvet Underground; Nico,The Velvet Underground & Nico 45th Anniversary,,https://open.spotify.com/track/2g4LWy7YxrbWYA2RJP8nFk,Short
"12180399177",43,Fly Me to the Moon (Acoustic),Angelina Jordan,Fly Me to the Moon (Acoustic),,https://open.spotify.com/track/2gqzxRIFxGaLzggiGR8QMl,Short
"12180399177",44,la luz(Fín),Kali Uchis; Jhay Cortez,Sin Miedo (del Amor y Otros Demonios) ∞,,https://open.spotify.com/track/4a1s8jkTbAoTlvj6x8pHK6,Short
"12180399177",45,Menace,Crown The Empire,The Fallout (Deluxe Reissue),,https://open.spotify.com/track/5m5WPYth01Qi57by82H3iR,Short
"12180399177",46,Put Your Records On,Ritt Momney,Put Your Records On,,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,Short
"12180399177",47,Herewego,Jinsang,Life,,https://open.spotify.com/track/3pAodxg6pppHSGadyQcf4M,Short
"12180399177",48,"5:32pm",The Deli,Vibes 2,,https://open.spotify.com/track/7qrBYrivpvfXUPBMmqh3dA,Short
"12180399177",49,The Eye of Truth,Driver,Bumps,,https://open.spotify.com/track/03yPqXVJIYC5qKoYTUbAp7,Short
"12180399177",50,I Was A Window,SASAMI; Dustin Payseur,SASAMI,,https://open.spotify.com/track/0UC7mR34BwAZKZ5hvDBCKK,Short
"12180399177",1,Get You (feat. Kali Uchis),Daniel Caesar; Kali Uchis,Freudian,,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ,Medium
"12180399177",2,Gramercy Park,Alicia Keys,ALICIA,,https://open.spotify.com/track/2cd4ZvMt2jj7BUCBXcckFh,Medium
"12180399177",3,Best Part (feat. H.E.R.),Daniel Caesar; H.E.R.,Freudian,,https://open.spotify.com/track/1RMJOxR6GRPsBHL8qeC2ux,Medium
"12180399177",4,Hey,Pixies,Doolittle,,https://open.spotify.com/track/2Aqc48sn8He26hmTvQ2BMj,Medium
"12180399177",5,What Happens to People?,Deerhunter,Why Hasn't Everything Already Disappeared?,,https://open.spotify.com/track/1hmSATuFIvmaJN4OKfbAU0,Medium
